logged_in,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
0,3,0,0,0.67,1,0.33,1,255,21,0.08,0.02,0,0,0.32,0.95,anomaly
0,3,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,2,0,0,1,1,0.5,1,58,59,0.28,0.09,0.03,0.02,0.86,0.97,anomaly
1,1,0,0,0,0,1,0,255,138,0.54,0.02,0,0,0.17,0,anomaly
0,469,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
1,4,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,8,255,1,0,0,0,0,0,normal
1,25,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,255,64,0.25,0.03,0.09,0,0.02,0,anomaly
1,9,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,118,0,0,1,1,0.02,0.07,255,2,0.01,0.06,0,0,1,1,anomaly
1,15,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,210,0,0,1,1,0.02,0.07,255,5,0.02,0.07,0,0,1,1,anomaly
0,2,0,0,0,0,1,0,2,2,1,0,0,0,0,0,anomaly
0,48,1,1,0,0,0.08,0.17,255,4,0.02,0.15,1,1,0,0,anomaly
0,3,0,0,0,0,1,0,255,254,1,0.01,0,0,0,0,anomaly
1,6,0,0,0,0,1,0,255,239,0.94,0.01,0,0,0.02,0.02,anomaly
0,104,1,1,0,0,0.12,0.07,255,13,0.05,0.05,1,1,0,0,anomaly
1,3,0,0,0,0,1,0,255,255,1,0,0.01,0.01,0.05,0.05,anomaly
1,12,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,191,0,0,0,0,0.01,1,255,1,0,1,0,0,0,0,anomaly
1,17,0,0,0,0,1,0,37,255,1,0,0,0,0,0,normal
0,142,0,0,0,0,0.01,0.97,255,1,0,0.84,0,0,0,0,anomaly
1,1,0,0,0,0,1,0,255,198,0.78,0.02,0,0,0.07,0,anomaly
1,6,0,0,0,0,1,0,184,251,1,0,0,0,0,0,normal
0,36,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
1,1,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,255,192,0.75,0.02,0.36,0.36,0.01,0.01,anomaly
1,4,0,0,0,0,0.75,0.5,255,245,0.96,0.04,0,0,0.03,0,anomaly
1,9,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,144,234,1,0,0,0,0,0,normal
0,198,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,3,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
1,5,0,0,0,0,1,0,68,255,1,0,0,0,0,0,normal
1,42,0.02,0.02,0.98,0.98,1,0,255,253,0.99,0.01,0.01,0.01,0.67,0.68,anomaly
1,23,0,0,0,0,1,0,138,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,55,253,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,1,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,47,45,0.96,0.04,0,0,0,0,normal
0,191,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,1,0,0,0,0,1,0,69,84,0.28,0.06,0,0,0,0,normal
1,2,0,0,1,1,1,0,255,253,0.99,0.01,0,0,0.01,0.01,anomaly
1,6,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,472,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,27,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
1,7,0,0,0,0,1,0,255,227,0.89,0.02,0,0,0,0,normal
0,169,0,0,0,0,1,0,255,254,1,0.01,0,0,0,0,normal
0,3,0,0,0.67,1,0.33,0.67,255,21,0.08,0.4,0,0,0.17,1,anomaly
1,2,0,0,0,0,1,0,6,255,1,0,0,0,0,0,normal
1,5,0,0,0,0,1,0,114,255,1,0,0.01,0,0,0,normal
0,1,0,0,1,1,1,0,255,1,0,0.89,0,0,0.87,1,anomaly
0,2,0,0,0,0,1,0,255,254,1,0.01,0,0,0.02,0.02,anomaly
0,4,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,6,0,0,0,0,1,0,6,255,1,0,0,0,0,0,normal
1,9,0,0,0,0,1,0,162,255,1,0,0,0,0,0,normal
1,4,0,0,0,0,1,0,8,255,1,0,0,0.01,0,0,normal
0,1,0,0,0,0,1,0,255,150,0.59,0.02,0,0,0.02,0.03,anomaly
1,1,0,0,0,0,1,0,198,65,0.33,0.04,0,0,0,0,anomaly
0,1,0,0,0,0,1,0,133,13,0.07,0.05,0,0,0,0,normal
1,12,0,0,1,1,1,0,255,244,0.96,0.01,0.02,0.02,0.55,0.57,anomaly
0,1,0,0,0,0,1,0,1,16,1,0,0,0,0,0,anomaly
0,41,0,0,0,0,0.02,0.83,255,1,0,0.52,0,0,0,0,anomaly
0,2,0,0,1,1,0.5,1,20,58,0.25,0.25,0,0,0.75,1,anomaly
1,1,0,0,0,0,1,0,255,14,0.05,0.02,0.65,0,0.02,0,anomaly
1,4,0,0,0,0,1,0,52,247,1,0,0,0,0,0,normal
0,511,0,0,0,0,1,0,5,4,0.8,0.4,0,0,0,0,anomaly
0,1,0,0,0,0,1,0,255,19,0.07,0.02,0,0,0,0.05,anomaly
0,458,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
1,2,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,263,1,1,0,0,0.08,0.06,255,20,0.08,0.07,1,1,0,0,anomaly
0,1,0,0,0,0,1,0,1,16,1,0,0,0,0,0,anomaly
0,3,0,0,0,0,1,0,134,145,0.18,0.04,0,0,0.02,0,normal
0,240,1,1,0,0,0.04,0.08,255,9,0.04,0.09,1,1,0,0,anomaly
1,1,0,0,0,0,1,0,255,4,0.02,0.02,0.94,0,0.01,0,anomaly
0,101,0,0,1,1,0.01,0.07,255,1,0,0.06,0,0,1,1,anomaly
0,263,0,0,1,1,0.07,0.06,255,18,0.07,0.05,0,0,1,1,anomaly
0,1,0,0,0,0,1,0,255,13,0.05,0.84,0,0,0.82,0,anomaly
0,1,1,1,0,0,1,0,255,63,0.25,0.67,0.15,0.6,0.65,0,anomaly
1,1,0,0,0,0,1,0,255,95,0.37,0.03,0,0,0,0,anomaly
0,1,1,1,0,0,1,0,255,148,0.58,0.03,0.29,0.5,0.11,0.09,anomaly
0,45,0.24,1,0.76,0,0.02,1,255,1,0,0.13,0.05,1,0.07,0,anomaly
1,26,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,34,0.15,0.15,0.85,0.85,1,0,255,255,1,0,0.02,0.02,0.65,0.65,anomaly
1,4,0,0,0,0,1,0,46,255,1,0,0,0,0,0,normal
0,2,0,0,0,0,1,0,2,28,1,0,0,0,0,0,anomaly
1,24,0,0,0,0,1,0,200,255,1,0,0,0,0,0,normal
1,5,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,11,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,255,4,0.02,0.87,0,0,0.85,0,anomaly
0,119,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,15,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,15,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,508,0,0,0.98,1,0,0.97,255,1,0,0.95,0,0,1,1,anomaly
0,1,0,0,1,1,1,0,12,7,0.58,0.17,0,0,0.5,0.86,normal
0,481,0.03,0,0.97,1,0,1,255,1,0,1,0,0,1,1,anomaly
0,2,0,0,0,0,1,0,255,254,1,0.01,0.01,0.01,0.02,0.02,anomaly
0,161,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,10,0,0,0,0,1,0,139,255,1,0,0,0,0,0,normal
1,9,0,0,0,0,1,0,97,255,1,0,0,0,0,0,normal
1,3,0.33,0,0.67,1,0.33,1,235,60,0.24,0.02,0.04,0,0.87,0.93,anomaly
0,141,1,1,0,0,0.03,0.06,255,4,0.02,0.05,1,1,0,0,anomaly
1,1,0,0,0,0,1,0,15,255,1,0,0,0,0,0,normal
1,24,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,1,0.6,1,0,255,52,0.2,0.03,0,0,0.52,0.69,anomaly
0,1,1,1,0,0,1,0,26,84,0.31,0.12,1,1,0,0,anomaly
0,285,0,0,1,1,0.01,0.06,255,3,0.01,0.06,0,0,1,1,anomaly
0,201,0,0,1,1,0.05,0.06,255,11,0.04,0.07,0,0,1,1,anomaly
0,171,0,0,0,0,1,0,255,254,1,0.01,0,0,0,0,anomaly
0,2,0,0,0,0,0.5,1,255,33,0.13,0.04,0,0,0,0,anomaly
1,3,0,0,0.33,0.33,1,0,255,250,0.98,0.01,0,0,0.01,0,anomaly
1,6,0,0,0,0,1,0,20,255,1,0,0,0,0,0,normal
1,13,0,0,0,0,1,0,153,255,1,0,0.01,0,0,0,normal
0,203,0,0,1,1,0,0.06,255,1,0,0.07,0,0,1,1,anomaly
1,4,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,121,0,0,1,1,0.1,0.07,255,12,0.05,0.06,0,0,1,1,anomaly
1,1,0,0,0,0,1,0,151,133,0.87,0.02,0,0,0.07,0,anomaly
1,1,0,0,0,0,1,0,163,122,0.75,0.02,0,0,0,0,normal
0,245,0,0,1,1,0.02,0.06,255,5,0.02,0.07,0,0,1,1,anomaly
0,312,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,105,0,0,1,1,0.02,0.09,255,2,0.01,0.06,0,0,1,1,anomaly
0,12,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,1,0,0,0,0,1,0,4,70,1,0,0,0,0,0,anomaly
1,2,0,0,0,0,1,0,255,216,0.85,0.13,0,0,0.14,0,anomaly
0,511,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,16,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,12,0,0,0,0,1,0,89,255,1,0,0,0,0,0,normal
1,9,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,255,212,0.83,0.02,0,0,0.04,0,anomaly
0,26,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,129,1,1,0,0,0.05,0.07,255,7,0.03,0.06,1,1,0,0,anomaly
0,157,1,1,0,0,0.13,0.1,255,20,0.08,0.1,1,1,0,0,anomaly
0,130,0,0,1,1,0.14,0.05,255,18,0.07,0.05,0,0,1,1,anomaly
1,2,0,0,0.5,0,0.5,1,255,226,0.89,0.02,0,0,0.08,0,anomaly
0,150,1,1,0,0,0.03,0.1,255,5,0.02,0.1,1,1,0,0,anomaly
1,18,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,42,1,0.02,0.12,0,0,0,0,anomaly
1,26,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,293,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
1,10,0,0,1,1,1,0,255,244,0.96,0.01,0.02,0.02,0.53,0.55,anomaly
1,5,0,0,0,0,1,0,80,255,1,0,0,0,0,0,normal
0,3,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,1,0,0,0,0,1,0,2,168,1,0,0,0,0,0,anomaly
1,1,0,0,0,0,1,0,219,200,0.91,0.01,0,0,0.05,0,anomaly
0,209,0,0,1,1,0.06,0.08,255,13,0.05,0.08,0,0,1,1,anomaly
1,3,0,0,0,0,1,0,98,248,1,0,0,0,0,0,normal
0,203,1,1,0,0,0.07,0.06,255,15,0.06,0.06,1,1,0,0,anomaly
0,1,1,1,0,0,1,0,255,122,0.48,0.03,0.17,0.35,0.11,0.11,anomaly
1,16,0,0,0,0,1,0,46,255,1,0,0,0,0,0,normal
0,112,0,0,1,1,0.06,0.06,255,7,0.03,0.05,0,0,1,1,anomaly
0,45,0.87,0.87,0.11,0.11,1,0,255,255,1,0,0.2,0.2,0.7,0.7,anomaly
0,222,0.7,0,0.3,1,0.03,0.06,255,7,0.03,0.07,0.74,0,0.26,1,anomaly
0,1,1,0.17,0,0.75,1,0,5,86,0.6,0.6,1,1,0,0,anomaly
0,254,0,0,1,1,0.08,0.07,255,20,0.08,0.07,0,0,1,1,anomaly
0,2,0,0,0,0,0.5,1,255,2,0.01,0.03,0,0,0,0,anomaly
1,2,0,0,0,0,1,0,255,225,0.88,0.12,0,0,0.11,0,anomaly
0,2,0,0,1,1,0.5,1,255,20,0.08,0.03,0,0,0.26,0.9,anomaly
0,211,0,0,1,1,0.01,0.08,255,3,0.01,0.08,0,0,1,1,anomaly
0,509,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,255,176,0.69,0.02,0,0,0.02,0.03,anomaly
0,510,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,238,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,494,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
1,2,0,0,0,0,1,0,232,255,1,0,0,0,0,0,normal
0,205,0,0,1,1,0.09,0.06,255,18,0.07,0.06,0,0,1,1,anomaly
1,19,0,0,0,0,1,0,219,255,1,0,0,0,0,0,normal
1,11,0,0,0,0,1,0,255,255,1,0,0.01,0.01,0,0,normal
0,389,0,0,0,0,1,0.01,255,255,1,0,0,0,0,0,normal
0,197,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,145,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,30,0.17,0.17,0.83,0.83,1,0,255,255,1,0,0.03,0.03,0.68,0.68,anomaly
0,5,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,140,0.59,0.67,0.41,0.33,0.13,0.06,255,18,0.07,0.06,0.33,0.67,0.67,0.33,anomaly
1,3,0,0,0,0,1,0,107,255,1,0,0,0,0,0,normal
0,227,0,0,1,1,0.02,0.07,255,5,0.02,0.07,0,0,1,1,anomaly
0,1,0,0,0,0,1,0,255,195,0.76,0.22,0.5,0.65,0.22,0.01,anomaly
0,124,0,0,1,1,0.06,0.06,255,8,0.03,0.06,0,0,1,1,anomaly
0,217,0,0,0,0,1,0,255,229,0.9,0.01,0,0,0,0,normal
0,203,0,0,1,1,0.06,0.06,255,13,0.05,0.06,0,0,1,1,anomaly
0,9,0,0,0,0,0.11,0.56,255,1,0,0.27,0,0,0,0,normal
1,1,0,0,0,0,1,0,116,101,0.86,0.03,0,0,0.09,0,anomaly
0,168,1,1,0,0,0.11,0.1,255,19,0.07,0.09,1,1,0,0,anomaly
1,7,0,0,0,0,1,0,7,255,1,0,0,0,0,0,normal
1,6,0,0,0,0,1,0,134,255,1,0,0.01,0,0,0,normal
0,2,0,0,1,0.73,0.5,1,255,55,0.22,0.02,0.02,0.05,0.79,0.91,anomaly
0,219,0,0,1,1,0.07,0.06,255,16,0.06,0.07,0,0,1,1,anomaly
0,248,0.01,0,0.99,1,0.02,0.07,255,6,0.02,0.09,0.01,0,0.99,1,anomaly
1,1,0,0,0,0,1,0,255,66,0.26,0.03,0.23,0,0.02,0,normal
0,5,0,0,0,0.8,1,0,255,77,0.3,0.03,0,0,0,0,normal
0,1,0,0,1,1,1,0,255,1,0,0.14,0,0,0.9,1,anomaly
0,1,1,1,0,0,1,0,127,1,0.01,1,1,1,0,0,anomaly
0,511,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,2,0,0,0,0,1,0,60,14,0.23,0.07,0,0,0,0,normal
0,444,0.02,0,0.96,1,0,1,255,1,0,1,0.03,0,0.97,1,anomaly
1,1,0,0,0,0,1,0,255,189,0.74,0.02,0,0,0.09,0,anomaly
0,1,0,0,0,0,1,0,255,21,0.08,0.81,0,0,0.79,0,anomaly
0,130,1,1,0,0,0.01,0.09,255,1,0,0.09,1,1,0,0,anomaly
1,5,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,161,118,0.73,0.04,0,0,0,0,normal
0,257,0,0,1,1,0.02,0.05,255,5,0.02,0.05,0,0,1,1,anomaly
1,4,0,0,0,0,1,0,255,254,1,0.01,0,0,0.07,0.07,anomaly
0,137,0,0,1,1,0.13,0.07,255,18,0.07,0.06,0,0,1,1,anomaly
0,2,0,0,0,0,1,0,255,255,1,0,0.01,0.01,0.02,0.02,anomaly
1,10,0,0,0,0,1,0,107,255,1,0,0,0,0,0,normal
0,129,1,1,0,0,0.13,0.06,255,17,0.07,0.06,1,1,0,0,anomaly
1,10,0,0,0,0,1,0,184,255,1,0,0,0,0,0,normal
1,3,0,0,1,1,0.33,1,255,27,0.11,0.03,0,0,0.36,0.96,anomaly
1,3,0,0,0,0,1,0,8,126,1,0,0,0,0,0,normal
0,122,0,0,0,0,1,0,255,227,0.89,0.01,0,0,0,0,normal
1,2,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,255,236,0.93,0.01,0,0,0.04,0,anomaly
1,1,0,0,0,0,1,0,255,244,0.96,0.02,0,0,0.02,0,anomaly
1,3,0,0,0,0,1,0,59,255,1,0,0,0,0,0,normal
0,111,0,0,0,0,0.01,0.64,255,1,0,0.82,0,0,0,0,anomaly
1,1,0,0,0,0,1,0,27,28,1,0,0,0,0,0,anomaly
0,125,0,0,1,1,0.15,0.06,255,19,0.07,0.06,0,0,1,1,anomaly
1,3,0,0,0,0,1,0,3,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,136,92,0.4,0.04,0,0,0,0,normal
1,75,0,0,0,0,1,0,200,255,1,0,0,0,0,0,normal
0,79,1,1,0,0,1,0,255,255,1,0,0.38,0.38,0.62,0.62,anomaly
0,113,0,0,0,0,0.04,0.87,255,5,0.02,0.97,0,0,0,0,normal
0,278,0,0,0,0,1,0,205,182,0.89,0.01,0,0,0,0,normal
0,86,0,0,0,0,1,0,255,252,0.99,0.01,0,0,0,0,normal
0,77,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,245,124,0.51,0.02,0,0,0,0,anomaly
0,1,0,0,0,0,1,0,1,14,1,0,0,0,0,0,anomaly
1,4,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,255,236,0.93,0.01,0,0,0.04,0,anomaly
0,1,0,0,0,0,1,0,255,254,1,0.01,0.02,0.02,0.02,0.02,anomaly
1,2,0,0,0,0,1,0,13,255,1,0,0,0,0,0,normal
1,14,0,0.59,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,1,1,0,0,1,0,22,86,0.36,0.14,1,1,0,0,anomaly
0,122,1,1,0,0,1,0,195,131,0.67,0.09,0.63,0.93,0.03,0,anomaly
0,1,0,0,0,0,1,0,206,47,0.23,0.04,0,0,0,0,anomaly
1,1,0,0,0,0,1,0,255,96,0.38,0.03,0.02,0,0.01,0,anomaly
0,184,1,1,0,0,0.02,0.09,255,3,0.01,0.09,1,1,0,0,anomaly
0,221,0,0,1,1,0.08,0.07,255,17,0.07,0.07,0,0,1,1,anomaly
1,1,0,0,0,0,1,0,19,154,0.53,0.11,0,0,0,0.02,normal
0,240,0,0,1,1,0.08,0.07,255,20,0.08,0.07,0,0,1,1,anomaly
1,5,0,0,0,0,1,0,6,160,1,0,0,0,0,0,normal
1,15,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,222,0,0,1,1,0.06,0.06,255,14,0.05,0.06,0,0,1,1,anomaly
0,11,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,2,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
1,15,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,115,100,0.86,0.03,0,0,0.09,0,anomaly
0,1,0,0,1,1,1,0,122,20,0.16,0.06,0,0,0.11,0.7,anomaly
1,1,0,0,0,0,1,0,3,255,1,0,0,0,0,0,normal
0,4,0,0,0,0,1,0,80,79,0.99,0.03,0,0,0,0,normal
0,204,0,0,1,1,0.04,0.06,255,8,0.03,0.07,0,0,1,1,anomaly
0,164,1,1,0,0,0.07,0.1,255,11,0.04,0.1,1,1,0,0,anomaly
1,1,0,0,0,0,1,0,255,118,0.46,0.26,0.01,0.01,0.49,0.01,normal
1,1,0,0,0,0,1,0,186,167,0.9,0.02,0,0,0.05,0,anomaly
1,1,0,0,0,0,1,0,16,251,1,0,0,0,0,0,normal
0,142,1,1,0,0,0.03,0.11,255,4,0.02,0.09,1,1,0,0,anomaly
1,1,0,0,0,0,1,0,255,175,0.69,0.02,0,0,0.11,0,anomaly
1,1,0,0,0,0,1,0,255,226,0.89,0.02,0,0,0.02,0,anomaly
1,1,0,0,0,0,1,0,251,24,0.1,0.02,0,0.04,0,0.04,anomaly
1,2,0,0,0,0,0.5,1,255,251,0.98,0.01,0,0,0,0,anomaly
0,444,0.05,0,0.92,1,0,1,255,1,0,1,0.03,0,0.94,1,anomaly
0,3,0,0,0.67,1,0.33,0.67,255,44,0.17,0.06,0,0,0.35,1,anomaly
1,10,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,65,0,0,1,1,0.17,0.06,255,53,0.21,0.11,0,0,0.99,1,anomaly
0,1,0,0,1,1,1,0,80,49,0.14,0.06,0.03,0,0.84,1,anomaly
1,14,0,0,0,0,1,0,14,255,1,0,0,0,0,0,normal
0,108,1,1,0,0,0.13,0.06,255,14,0.05,0.05,1,1,0,0,anomaly
0,300,0,0,1,1,0.07,0.06,255,20,0.08,0.07,0,0,1,1,anomaly
0,511,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,121,4,0.02,0.04,0,0,0,0,normal
1,1,0,0,0,0,1,0,157,97,0.46,0.11,0.01,0,0,0,normal
1,18,0,0,0,0,1,0,72,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,anomaly
0,2,0.5,1,0.5,0,0.5,1,255,134,0.53,0.44,0.42,0.79,0.43,0.01,anomaly
0,2,0,0,1,1,0.5,1,78,60,0.26,0.06,0,0,0.91,0.97,anomaly
0,4,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,3,0,0,0,0,1,0,255,254,1,0.01,0,0,0,0,anomaly
1,1,0,0,0,0,1,0,59,255,1,0,0,0,0,0,normal
1,1,1,1,0,0,1,0,255,240,0.94,0.01,0.01,0.01,0,0,normal
1,1,0,0,0,0,1,0,255,46,0.18,0.03,0.2,0,0.02,0,anomaly
1,13,0,0,0,0,1,0,13,247,1,0,0,0,0,0,normal
1,17,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,5,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,1,0,0,0,0,1,0,187,10,0.05,0.02,0,0,0,0,normal
0,152,1,1,0,0,0.13,0.07,255,20,0.08,0.07,1,1,0,0,anomaly
0,133,1,1,0,0,0.08,0.06,255,10,0.04,0.06,1,1,0,0,anomaly
1,8,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,186,0.8,0.5,0.2,0.5,0.02,0.08,255,4,0.02,0.07,0.82,0.5,0.18,0.5,anomaly
1,21,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,255,77,0.3,0.02,0,0,0.01,0.04,anomaly
1,19,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,206,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,17,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,194,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,36,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,509,0,0,1,1,0,0.97,255,1,0,0.95,0,0,1,1,anomaly
1,1,0,0,0,0,1,0,255,33,0.13,0.02,0,0,0.41,0,anomaly
0,4,0,0,0.5,0,0.25,0.75,255,16,0.06,0.02,0,0,0.18,0,anomaly
1,2,0,0,0,0,1,0,43,255,1,0,0,0,0,0,normal
0,4,0,0,0,0,1,0,255,246,0.96,0.01,0,0,0,0,normal
0,63,1,1,0,0,1,0,255,255,1,0,0.82,0.82,0.15,0.15,anomaly
0,245,0,0,1,1,0.04,0.07,255,9,0.04,0.08,0,0,1,1,anomaly
0,242,0,0,1,1,0.02,0.06,255,6,0.02,0.07,0,0,1,1,anomaly
0,511,0,0,0,0,1,0,45,28,0.62,0.04,0,0,0.02,0,anomaly
0,117,0,0,1,1,0.09,0.06,255,11,0.04,0.06,0,0,1,1,anomaly
1,23,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,1,0.56,1,0,65,83,0.32,0.08,0,0,0.91,0.72,anomaly
0,12,1,1,0,0,1,0,255,245,0.96,0.01,0.14,0.15,0.56,0.59,anomaly
0,103,1,1,0,0,1,0,255,255,1,0,0.54,0.54,0.44,0.44,anomaly
0,1,1,1,0,0,1,0,255,120,0.47,0.48,0.36,0.77,0.47,0.02,anomaly
1,1,0,0,0,0,1,0,4,6,1,0,0,0,0,0,normal
0,125,0,0,1,1,0.08,0.06,255,10,0.04,0.06,0,0,1,1,anomaly
1,3,0,0,0,0,1,0,255,247,0.97,0.04,0,0,0.03,0,anomaly
0,143,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,103,0,0,1,1,0.01,0.55,108,1,0.01,0.53,0,0,0.95,1,anomaly
0,420,0,0,0,0,0,1,255,1,0,1,0,0,0,0,anomaly
0,1,0,0,0,0,1,0,255,50,0.2,0.03,0.29,0,0.02,0,anomaly
0,265,1,1,0,0,0.05,0.06,255,12,0.05,0.07,1,1,0,0,anomaly
1,1,0,0,0,0,1,0,199,159,0.8,0.03,0,0,0.01,0,normal
1,1,0,0,0,0,1,0,65,190,0.75,0.05,0,0,0,0,normal
0,413,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,320,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,2,0,0,0,0,1,0,255,253,0.99,0.01,0,0,0,0,anomaly
1,1,0,0,0,0,1,0,50,194,0.58,0.1,0,0,0,0.02,normal
1,14,0,0,0,0,1,0,88,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,255,1,0,0.01,0,0,0,0,anomaly
0,139,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,2,0,0,0,0,1,0,255,3,0.01,0.01,0,0,0,0,normal
0,140,1,1,0,0,0.07,0.06,255,10,0.04,0.05,1,1,0,0,anomaly
0,1,0,0,0,0,1,0,40,105,1,0,0,0,0,0,normal
0,188,1,1,0,0,0.08,0.08,255,15,0.06,0.08,1,1,0,0,anomaly
0,511,0.06,0,0.94,1,0,1,255,1,0,1,0.06,0,0.94,1,anomaly
0,233,0.07,0,0.92,1,0,1,255,1,0,0.86,0.07,0,0.78,1,anomaly
1,36,0,0,0,0,1,0,123,255,1,0,0,0,0,0,normal
1,6,0,0,0,0,1,0,75,255,1,0,0,0,0,0,normal
1,3,0,0,0,0,0.67,0.67,255,245,0.96,0.04,0,0,0.04,0,anomaly
1,4,0,0,0,0,1,0,255,255,1,0,0,0,0.05,0.05,anomaly
1,12,0,0,0,0,1,0,17,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,1,247,1,0,0,0,0,0,normal
